Marital_status,Application_mode,Application_order,Course,Daytime_evening_attendance,Previous_qualification,Previous_qualification_grade,Nacionality,Mothers_qualification,Fathers_qualification,Mothers_occupation,Fathers_occupation,Admission_grade,Displaced,Educational_special_needs,Debtor,Tuition_fees_up_to_date,Gender,Scholarship_holder,Age_at_enrollment,International,Curricular_units_1st_sem_credited,Curricular_units_1st_sem_enrolled,Curricular_units_1st_sem_evaluations,Curricular_units_1st_sem_approved,Curricular_units_1st_sem_grade,Curricular_units_1st_sem_without_evaluations,Curricular_units_2nd_sem_credited,Curricular_units_2nd_sem_enrolled,Curricular_units_2nd_sem_evaluations,Curricular_units_2nd_sem_approved,Curricular_units_2nd_sem_grade,Curricular_units_2nd_sem_without_evaluations,Unemployment_rate,Inflation_rate,GDP,Status
Married,Change of institution/course,1,Social Service (evening attendance),Evening,Basic education 3rd cycle,133.1,Portuguese,Basic Education 1st Cycle,Basic Education 1st Cycle,Unskilled,Unskilled,104.0,No,No,Yes,Yes,Female,No,42,No,5,11,14,10,11.9,0,5,11,14,10,12.8,0,11.1,0.6,2.02,Enrolled
Single,3rd phase - general contingent,4,Management,Daytime,Secondary education,130.0,Portuguese,Basic Education 1st Cycle,Basic Education 1st Cycle,Unskilled,Unskilled,119.9,Yes,No,No,No,Female,No,34,No,0,5,5,0,0.0,0,0,5,0,0,0.0,0,9.4,-0.8,-3.12,Dropout
Single,1st phase - general contingent,1,Nursing,Daytime,Secondary education,152.0,Portuguese,Secondary Education - 12th Year,Secondary Education - 12th Year,Administrative,Administrative,141.0,Yes,No,No,Yes,Female,Yes,18,No,0,7,7,7,15.135714285714286,0,0,8,8,8,15.287499999999998,0,12.4,0.5,1.79,Graduate
Single,2nd phase - general contingent,1,Basic Education,Daytime,Secondary education,125.0,Portuguese,Higher Education - Degree,Higher Education - Degree,Technician/Professional,Technician/Professional,116.6,Yes,No,No,No,Female,Yes,18,No,0,7,7,7,12.285714285714286,0,0,7,8,6,13.333333333333334,0,8.9,1.4,3.51,Enrolled
Single,Technological specialization diploma holders,1,Veterinary Nursing,Daytime,Technological specialization course,140.0,Portuguese,Basic Education 1st Cycle,Basic Education 2nd Cycle,Service/Security/Sales,Agriculture/Fishery,140.0,Yes,No,No,Yes,Female,No,21,No,2,6,16,5,12.666666666666666,0,1,6,15,2,13.5,0,16.2,0.3,-0.92,Enrolled
Divorced,Over 23 years old,1,Nursing,Daytime,Basic education 3rd cycle,133.1,Portuguese,Basic Education 2nd Cycle,Basic Education 3rd Cycle,Service/Security/Sales,Construction/Craft,140.0,No,No,No,Yes,Female,Yes,26,No,0,7,13,5,12.74,0,0,8,12,6,10.978571428571428,0,16.2,0.3,-0.92,Dropout
Single,Change of course,1,Nursing,Daytime,Secondary education,170.0,Portuguese,Basic Education 3rd Cycle,Basic Education 1st Cycle,Machine Operator,Machine Operator,100.0,No,No,No,Yes,Female,No,20,No,0,7,8,6,13.25,0,0,8,8,8,13.75,0,13.9,-0.3,0.79,Enrolled
Single,1st phase - general contingent,1,Social Service,Daytime,Secondary education,135.0,Portuguese,Basic Education 2nd Cycle,Basic Education 2nd Cycle,Service/Security/Sales,Construction/Craft,121.0,No,No,No,Yes,Female,No,19,No,0,6,13,3,10.333333333333334,0,0,6,12,3,10.333333333333334,0,7.6,2.6,0.32,Enrolled
Single,1st phase - general contingent,1,Basic Education,Daytime,Secondary education,125.0,Portuguese,Basic Education 3rd Cycle,Basic Education 3rd Cycle,Service/Security/Sales,Service/Security/Sales,117.0,No,No,No,Yes,Female,Yes,19,No,0,6,7,6,13.428571428571429,0,0,6,6,6,13.166666666666666,0,15.5,2.8,-4.06,Graduate
Single,Short cycle diploma holders,1,Management,Daytime,Professional higher technical course,140.0,Portuguese,Higher Education - Degree,Higher Education - Master's,Intellectual/Scientific,Executive/Director,140.2,No,No,No,Yes,Female,No,20,No,6,11,19,9,12.555555555555555,0,3,9,14,8,11.11111111111111,0,8.9,1.4,3.51,Graduate
Single,1st phase - general contingent,1,Social Service,Daytime,Secondary education,124.0,Portuguese,Unknown,Unknown,Student,Student,129.3,No,No,No,Yes,Female,No,19,No,0,6,8,6,11.5,0,0,6,7,6,11.166666666666666,0,7.6,2.6,0.32,Graduate
Single,1st phase - general contingent,1,Basic Education,Daytime,Secondary education,140.0,Portuguese,Basic Education 1st Cycle,Basic Education 1st Cycle,Unskilled,Unskilled,145.3,No,No,No,Yes,Female,No,18,No,0,6,6,6,13.666666666666666,0,0,6,9,6,12.333333333333334,0,7.6,2.6,0.32,Graduate
Single,Over 23 years old,1,Management (evening attendance),Evening,Higher education - degree,130.0,Portuguese,Basic Education 1st Cycle,Basic Education 1st Cycle,Unskilled,Unskilled,146.2,No,No,No,Yes,Female,No,28,No,10,14,16,11,11.272727272727272,0,6,11,16,10,12.0,0,10.8,1.4,1.74,Graduate
Single,2nd phase - general contingent,1,Basic Education,Daytime,Secondary education,134.0,Portuguese,Secondary Education - 12th Year,Basic Education 3rd Cycle,Administrative,Service/Security/Sales,122.5,Yes,No,No,Yes,Female,No,22,No,0,6,10,5,13.166666666666666,0,0,6,8,5,12.4,0,15.5,2.8,-4.06,Enrolled
Single,Technological specialization diploma holders,1,Social Service (evening attendance),Evening,Technological specialization course,160.0,Portuguese,Basic Education 1st Cycle,Basic Education 1st Cycle,Construction/Craft,Construction/Craft,156.1,No,No,No,Yes,Female,Yes,21,No,3,6,6,6,14.666666666666666,0,2,6,6,6,14.166666666666666,0,13.9,-0.3,0.79,Graduate
Single,Technological specialization diploma holders,1,Veterinary Nursing,Daytime,Technological specialization course,140.0,Portuguese,Higher Education - Master's,Basic Education 2nd Cycle,Administrative,Service/Security/Sales,140.0,Yes,No,No,Yes,Female,No,21,No,0,6,11,4,12.75,0,0,6,19,1,11.0,0,12.4,0.5,1.79,Enrolled
Single,Over 23 years old,1,Nursing,Daytime,Secondary education,150.0,Portuguese,Secondary Education - 12th Year,Basic Education 3rd Cycle,Service/Security/Sales,Technician/Professional,140.0,No,Yes,No,Yes,Female,No,26,No,0,7,11,5,11.2,0,0,8,13,5,12.14,0,16.2,0.3,-0.92,Enrolled
Single,1st phase - general contingent,6,Journalism and Communication,Daytime,Secondary education,141.0,Portuguese,8th Year,Basic Education 1st Cycle,Construction/Craft,Construction/Craft,128.4,Yes,No,Yes,No,Female,No,18,No,0,6,8,5,13.0,0,0,6,8,5,11.4,0,7.6,2.6,0.32,Dropout
Single,2nd phase - general contingent,2,Veterinary Nursing,Daytime,Secondary education,120.0,Portuguese,Secondary Education - 12th Year,Secondary Education - 12th Year,Unskilled,Armed Forces,115.0,No,No,No,No,Female,No,20,No,0,5,8,2,10.5,0,0,5,8,2,12.333333333333334,0,7.6,2.6,0.32,Dropout
Single,2nd phase - general contingent,2,Veterinary Nursing,Daytime,Secondary education,166.0,Portuguese,Secondary Education - 12th Year,Basic Education 3rd Cycle,Administrative,Technician/Professional,158.7,No,No,No,Yes,Female,No,18,No,0,6,7,6,14.857142857142858,0,0,6,7,6,14.0,0,11.1,0.6,2.02,Graduate
Single,1st phase - general contingent,4,Nursing,Daytime,Secondary education,147.0,Portuguese,Secondary Education - 12th Year,Secondary Education - 12th Year,Administrative,Unskilled,124.5,Yes,No,No,Yes,Female,Yes,19,No,0,8,11,7,12.86,0,0,8,11,7,12.86,0,10.8,1.4,1.74,Graduate
Single,Change of institution/course,1,Social Service,Daytime,Secondary education,121.0,Portuguese,Higher Education - Degree,Basic Education 3rd Cycle,Technician/Professional,Armed Forces,111.9,Yes,No,No,Yes,Female,No,20,No,5,11,12,11,11.727272727272728,0,5,11,14,11,12.0,0,12.4,0.5,1.79,Graduate
Single,Technological specialization diploma holders,1,Veterinary Nursing,Daytime,Technological specialization course,150.0,Portuguese,Basic Education 2nd Cycle,Basic Education 1st Cycle,Administrative,Agriculture/Fishery,150.0,Yes,No,No,Yes,Female,Yes,22,No,3,6,11,6,13.142857142857142,0,2,6,10,3,12.0,0,13.9,-0.3,0.79,Graduate
Single,2nd phase - general contingent,1,Advertising and Marketing Management,Daytime,Secondary education,124.0,Portuguese,Basic Education 1st Cycle,Basic Education 3rd Cycle,Service/Security/Sales,Machine Operator,114.2,Yes,No,Yes,Yes,Female,No,18,No,0,6,6,5,11.8,0,0,6,9,4,13.714285714285714,0,10.8,1.4,1.74,Dropout
Single,2nd phase - general contingent,1,Management,Daytime,Secondary education,96.0,Portuguese,Basic Education 2nd Cycle,Basic Education 1st Cycle,Agriculture/Fishery,Administrative,96.0,Yes,No,No,Yes,Female,No,19,No,0,5,10,3,10.666666666666666,0,0,5,9,0,0.0,3,16.2,0.3,-0.92,Dropout
Single,2nd phase - general contingent,4,Communication Design,Daytime,Secondary education,125.0,Portuguese,Secondary Education - 12th Year,Higher Education - Degree,Technician/Professional,Technician/Professional,128.9,No,No,No,Yes,Female,Yes,18,No,0,6,9,5,11.6,0,0,6,8,4,11.2,0,8.9,1.4,3.51,Enrolled
Single,2nd phase - general contingent,1,Tourism,Daytime,Secondary education,136.0,Portuguese,Basic Education 1st Cycle,Basic Education 1st Cycle,Construction/Craft,Construction/Craft,121.7,Yes,No,No,Yes,Female,No,20,No,0,6,13,3,10.333333333333334,0,0,6,12,3,10.333333333333334,0,10.8,1.4,1.74,Enrolled
Single,1st phase - general contingent,1,Journalism and Communication,Daytime,Secondary education,120.0,Portuguese,Basic Education 2nd Cycle,Basic Education 1st Cycle,Unskilled,Unskilled,114.8,Yes,Yes,No,Yes,Female,No,19,No,0,6,11,4,12.25,0,0,6,11,3,11.0,0,7.6,2.6,0.32,Enrolled
Single,1st phase - general contingent,1,Tourism,Daytime,Secondary education,128.0,Portuguese,Basic Education 3rd Cycle,Basic Education 2nd Cycle,Unskilled,Unskilled,127.0,No,No,No,Yes,Female,No,19,No,0,6,6,6,12.0,0,0,6,7,4,12.75,0,12.4,0.5,1.79,Enrolled
Single,2nd phase - general contingent,1,Nursing,Daytime,Secondary education,142.0,Portuguese,Basic Education 1st Cycle,Basic Education 1st Cycle,Service/Security/Sales,Service/Security/Sales,131.3,Yes,No,No,Yes,Female,No,19,No,0,8,8,7,14.731428571428571,0,0,8,8,7,14.731428571428571,0,10.8,1.4,1.74,Graduate
Single,1st phase - general contingent,1,Animation and Multimedia Design,Daytime,Secondary education,135.0,Portuguese,Secondary Education - 12th Year,Basic Education 3rd Cycle,Technician/Professional,Unskilled,137.1,Yes,No,No,Yes,Female,No,18,No,0,0,0,0,0.0,0,0,0,0,0,0.0,0,12.7,3.7,-1.7,Graduate
Single,Holders of other higher courses,1,Communication Design,Daytime,Higher education - degree (1st cycle),120.0,Portuguese,Secondary Education - 12th Year,Basic Education 3rd Cycle,Technician/Professional,Unskilled,120.0,Yes,No,No,Yes,Female,No,21,No,9,13,14,13,13.615384615384617,1,6,12,12,12,14.25,0,13.9,-0.3,0.79,Graduate
Single,Over 23 years old,1,Management (evening attendance),Evening,Higher education - degree (1st cycle),140.0,Portuguese,Secondary Education - 12th Year,Basic Education 3rd Cycle,Unskilled,Unskilled,139.0,No,No,No,Yes,Female,No,27,No,0,5,5,5,15.8,0,0,5,5,5,14.8,0,8.9,1.4,3.51,Graduate
Single,2nd phase - general contingent,1,Social Service,Daytime,Secondary education,135.0,Portuguese,Secondary Education - 12th Year,Basic Education 3rd Cycle,Administrative,Administrative,129.1,No,No,No,Yes,Female,No,19,No,0,6,6,6,14.666666666666666,0,0,6,7,6,14.571428571428571,0,15.5,2.8,-4.06,Graduate
Divorced,Over 23 years old,1,Veterinary Nursing,Daytime,Secondary education,133.1,Portuguese,Unknown,Unknown,Student,Student,128.2,No,No,No,Yes,Female,No,25,No,0,5,5,0,0.0,0,0,5,5,0,0.0,0,7.6,2.6,0.32,Dropout
Single,1st phase - general contingent,2,Nursing,Daytime,Secondary education,137.0,Portuguese,Basic Education 3rd Cycle,Basic Education 3rd Cycle,Construction/Craft,Construction/Craft,120.8,Yes,No,No,Yes,Female,Yes,18,No,0,8,8,7,14.654285714285717,0,0,8,8,7,14.654285714285717,0,10.8,1.4,1.74,Graduate
Single,Over 23 years old,1,Nursing,Daytime,Higher education - degree,122.0,Portuguese,Basic Education 3rd Cycle,Secondary Education - 12th Year,Administrative,Machine Operator,135.8,No,No,No,Yes,Female,No,24,No,0,8,8,7,12.401428571428571,0,0,8,8,7,12.401428571428571,0,10.8,1.4,1.74,Graduate
Single,1st phase - general contingent,3,Nursing,Daytime,Secondary education,128.0,Portuguese,Secondary Education - 12th Year,Secondary Education - 12th Year,Administrative,Armed Forces,118.9,Yes,No,No,Yes,Female,No,20,No,0,7,8,7,11.5875,0,0,8,9,7,14.071428571428571,0,13.9,-0.3,0.79,Graduate
Single,Holders of other higher courses,1,Management (evening attendance),Evening,Higher education - degree (1st cycle),140.0,Portuguese,Basic Education 1st Cycle,Basic Education 1st Cycle,Agriculture/Fishery,Agriculture/Fishery,140.0,No,No,No,Yes,Female,No,26,No,3,5,5,5,14.0,0,1,5,5,5,15.6,0,12.4,0.5,1.79,Graduate
Single,1st phase - general contingent,1,Social Service,Daytime,Secondary education,132.0,Portuguese,Secondary Education - 12th Year,Basic Education 2nd Cycle,Unskilled,Construction/Craft,127.1,Yes,No,No,Yes,Female,Yes,20,No,0,6,9,6,12.333333333333334,0,0,6,6,6,11.833333333333334,0,8.9,1.4,3.51,Graduate
Single,1st phase - general contingent,1,Veterinary Nursing,Daytime,Secondary education,131.0,Portuguese,Basic Education 1st Cycle,Basic Education 1st Cycle,Other,Other,137.0,No,No,No,Yes,Female,No,18,No,0,5,5,5,14.0,0,0,5,6,5,15.4,0,7.6,2.6,0.32,Graduate
Single,1st phase - general contingent,1,Veterinary Nursing,Daytime,Secondary education,126.0,Portuguese,Secondary Education - 12th Year,Secondary Education - 12th Year,Unskilled,Unskilled,127.4,Yes,No,No,Yes,Female,No,19,No,0,6,13,6,15.23076923076923,0,0,6,10,6,12.375,0,15.5,2.8,-4.06,Graduate
Single,1st phase - general contingent,1,Basic Education,Daytime,Secondary education,133.1,Portuguese,Basic Education 3rd Cycle,Basic Education 3rd Cycle,Unskilled,Unskilled,97.0,Yes,No,No,Yes,Female,No,23,No,0,6,9,5,11.6,0,0,6,9,3,11.0,0,12.7,3.7,-1.7,Dropout
Single,1st phase - general contingent,4,Nursing,Daytime,Secondary education,136.0,Portuguese,Basic Education 1st Cycle,Basic Education 1st Cycle,Unskilled,Unskilled,126.3,Yes,No,No,Yes,Female,Yes,18,No,0,7,7,6,11.6,0,0,7,7,6,11.6,0,7.6,2.6,0.32,Graduate
Single,1st phase - general contingent,4,Nursing,Daytime,Secondary education,140.0,Portuguese,Secondary Education - 12th Year,Basic Education 3rd Cycle,Administrative,Service/Security/Sales,127.5,No,No,No,Yes,Female,No,18,No,0,7,0,0,0.0,0,0,8,0,0,0.0,0,12.7,3.7,-1.7,Dropout
Single,1st phase - general contingent,1,Nursing,Daytime,Secondary education,135.0,Portuguese,Higher Education - Bachelor's,Secondary Education - 12th Year,Intellectual/Scientific,Machine Operator,126.6,No,No,No,Yes,Female,Yes,19,No,0,7,7,7,12.901428571428571,0,0,8,9,8,13.094444444444443,0,11.1,0.6,2.02,Graduate
Single,Transfer,1,Management (evening attendance),Evening,Secondary education,160.0,Portuguese,Secondary Education - 12th Year,Higher Education - Bachelor's,Administrative,Technician/Professional,120.0,No,No,No,Yes,Female,No,30,No,4,7,9,7,14.142857142857142,0,1,5,5,5,14.8,0,7.6,2.6,0.32,Graduate
Single,Technological specialization diploma holders,1,Veterinary Nursing,Daytime,Technological specialization course,140.0,Portuguese,Secondary Education - 12th Year,Higher Education - Bachelor's,Administrative,Agriculture/Fishery,140.0,Yes,No,No,Yes,Female,No,29,No,0,6,0,0,0.0,0,0,6,0,0,0.0,0,15.5,2.8,-4.06,Dropout
Single,1st phase - general contingent,6,Nursing,Daytime,Secondary education,140.0,Portuguese,Higher Education - Degree,Secondary Education - 12th Year,Technician/Professional,Technician/Professional,131.5,Yes,No,No,Yes,Female,No,19,No,0,8,8,8,13.25375,0,0,8,8,8,13.25375,0,9.4,-0.8,-3.12,Graduate
Single,2nd phase - general contingent,6,Oral Hygiene,Daytime,Secondary education,115.0,Portuguese,Basic Education 3rd Cycle,Higher Education - Bachelor's,Service/Security/Sales,Technician/Professional,112.2,Yes,No,No,Yes,Female,No,20,No,0,7,7,7,13.785714285714286,0,0,8,8,8,14.1,0,12.4,0.5,1.79,Graduate
Single,1st phase - general contingent,1,Nursing,Daytime,Secondary education,144.0,Portuguese,Basic Education 1st Cycle,Basic Education 1st Cycle,Unskilled,Technician/Professional,150.5,No,No,No,Yes,Female,No,20,No,0,7,7,6,13.916666666666666,0,0,7,7,6,13.916666666666666,0,7.6,2.6,0.32,Graduate
Single,1st phase - general contingent,4,Advertising and Marketing Management,Daytime,Secondary education,128.0,Portuguese,Basic Education 2nd Cycle,Basic Education 2nd Cycle,Technician/Professional,Construction/Craft,121.0,Yes,No,No,Yes,Female,No,19,No,0,6,8,6,13.5,0,0,6,9,6,13.571428571428571,0,11.1,0.6,2.02,Graduate
Single,2nd phase - general contingent,1,Management,Daytime,Secondary education,116.0,Portuguese,Basic Education 2nd Cycle,Higher Education - Bachelor's,Unskilled,Intellectual/Scientific,112.2,Yes,No,No,Yes,Female,No,20,No,0,5,8,3,11.333333333333334,0,0,5,12,2,10.666666666666666,0,10.8,1.4,1.74,Enrolled
Widower,1st phase - general contingent,2,Veterinary Nursing,Daytime,Secondary education,135.0,Portuguese,Basic Education 3rd Cycle,Secondary Education - 12th Year,Administrative,Administrative,129.4,Yes,No,No,Yes,Female,No,21,No,0,5,8,0,0.0,4,0,5,12,0,0.0,4,10.8,1.4,1.74,Dropout
Single,2nd phase - general contingent,1,Advertising and Marketing Management,Daytime,Secondary education,121.0,Portuguese,Basic Education 3rd Cycle,Basic Education 2nd Cycle,Administrative,Armed Forces,114.4,No,No,No,Yes,Female,No,19,No,0,6,10,5,11.5,0,0,6,9,4,14.6,0,11.1,0.6,2.02,Graduate
Single,1st phase - general contingent,3,Nursing,Daytime,Secondary education,134.0,Portuguese,Basic Education 1st Cycle,Basic Education 2nd Cycle,Unskilled,Unskilled,120.3,Yes,No,No,Yes,Female,Yes,18,No,0,8,8,7,12.082857142857142,0,0,8,8,7,12.082857142857142,0,10.8,1.4,1.74,Graduate
Single,Over 23 years old,1,Social Service (evening attendance),Evening,Secondary education,120.0,Portuguese,Basic Education 1st Cycle,Basic Education 1st Cycle,Construction/Craft,Machine Operator,120.0,No,No,No,Yes,Female,Yes,27,No,0,6,8,6,11.833333333333334,0,0,6,10,5,12.8,0,15.5,2.8,-4.06,Graduate
Single,2nd phase - general contingent,2,Management,Daytime,Secondary education,125.0,Portuguese,Basic Education 2nd Cycle,Basic Education 2nd Cycle,Agriculture/Fishery,Machine Operator,114.5,Yes,No,No,Yes,Female,Yes,19,No,0,5,6,5,13.4,0,0,5,5,5,12.4,0,12.4,0.5,1.79,Graduate
Single,1st phase - general contingent,1,Nursing,Daytime,Secondary education,141.0,Portuguese,Secondary Education - 12th Year,Secondary Education - 12th Year,Other,Technician/Professional,127.8,No,No,No,Yes,Female,Yes,19,No,0,7,7,0,0.0,2,0,7,7,0,0.0,2,7.6,2.6,0.32,Dropout
Single,1st phase - general contingent,1,Journalism and Communication,Daytime,Secondary education,140.0,Portuguese,Secondary Education - 12th Year,Basic Education 3rd Cycle,Administrative,Machine Operator,124.6,Yes,No,No,Yes,Female,No,19,No,0,6,7,5,14.2,0,0,6,7,6,14.571428571428571,0,15.5,2.8,-4.06,Graduate
Single,1st phase - general contingent,6,Nursing,Daytime,Secondary education,144.0,Portuguese,Basic Education 3rd Cycle,Basic Education 3rd Cycle,Service/Security/Sales,Service/Security/Sales,130.3,Yes,No,No,Yes,Female,Yes,18,No,0,8,8,7,13.814285714285717,0,0,8,8,7,13.814285714285717,0,12.7,3.7,-1.7,Graduate
Single,2nd phase - general contingent,1,Tourism,Daytime,Secondary education,122.0,Portuguese,Basic Education 3rd Cycle,Basic Education 3rd Cycle,Service/Security/Sales,Service/Security/Sales,118.2,No,No,No,Yes,Female,Yes,20,No,0,6,10,4,11.25,0,0,6,6,6,10.5,0,12.4,0.5,1.79,Enrolled
Single,1st phase - general contingent,1,Advertising and Marketing Management,Daytime,Secondary education,130.0,Portuguese,Basic Education 3rd Cycle,Basic Education 1st Cycle,Administrative,Service/Security/Sales,118.8,No,No,No,Yes,Female,Yes,18,No,0,6,6,6,14.5,0,0,6,8,6,13.666666666666666,0,12.7,3.7,-1.7,Graduate
Single,1st phase - general contingent,5,Advertising and Marketing Management,Daytime,Secondary education,133.1,Portuguese,12th Year - Not Completed,Secondary Education - 12th Year,Intellectual/Scientific,Administrative,133.0,Yes,No,No,Yes,Female,No,19,No,0,6,0,0,0.0,0,0,6,0,0,0.0,0,7.6,2.6,0.32,Dropout
Married,Over 23 years old,1,Nursing,Daytime,Basic education 3rd cycle,133.1,Portuguese,Basic Education 1st Cycle,Basic Education 1st Cycle,Unskilled,Unskilled,129.0,Yes,No,No,Yes,Female,No,36,No,0,7,7,6,11.3,0,0,7,7,6,11.3,0,7.6,2.6,0.32,Graduate
Single,Change of course,1,Oral Hygiene,Daytime,Secondary education,147.0,Portuguese,Higher Education - Degree,Higher Education - Master's,Technician/Professional,Intellectual/Scientific,100.0,No,No,No,Yes,Female,No,18,No,0,2,2,0,0.0,0,0,4,4,1,16.0,0,10.8,1.4,1.74,Enrolled
Single,Change of course,1,Equinculture,Daytime,Secondary education,127.0,Portuguese,Basic Education 3rd Cycle,Basic Education 2nd Cycle,Administrative,Service/Security/Sales,120.7,Yes,No,Yes,Yes,Female,No,18,No,0,5,11,1,12.0,0,0,5,9,3,12.0,0,12.7,3.7,-1.7,Enrolled
Single,2nd phase - general contingent,6,Nursing,Daytime,Secondary education,136.0,Portuguese,Basic Education 3rd Cycle,Basic Education 2nd Cycle,Unskilled,Technician/Professional,132.5,Yes,No,No,Yes,Female,No,19,No,0,8,9,7,12.3,0,0,8,9,7,12.3,0,12.7,3.7,-1.7,Graduate
Single,1st phase - general contingent,5,Nursing,Daytime,Secondary education,127.0,Portuguese,Basic Education 3rd Cycle,Basic Education 3rd Cycle,Construction/Craft,Machine Operator,120.3,Yes,No,No,Yes,Female,Yes,18,No,0,8,8,7,12.694285714285714,0,0,8,8,7,12.694285714285714,0,10.8,1.4,1.74,Graduate
Single,2nd phase - general contingent,1,Advertising and Marketing Management,Daytime,Secondary education,123.0,Portuguese,Basic Education 3rd Cycle,Basic Education 3rd Cycle,Executive/Director,Executive/Director,114.6,No,No,No,Yes,Female,No,18,No,0,5,5,4,11.0,0,0,5,5,4,11.0,0,9.4,-0.8,-3.12,Graduate
Single,1st phase - general contingent,1,Social Service,Daytime,Secondary education,128.0,Portuguese,Basic Education 1st Cycle,Basic Education 3rd Cycle,Unskilled,Technician/Professional,116.5,Yes,No,No,Yes,Female,Yes,19,No,0,6,6,6,13.0,0,0,6,6,6,14.166666666666666,0,12.4,0.5,1.79,Graduate
Single,1st phase - general contingent,1,Nursing,Daytime,Secondary education,128.0,Portuguese,Higher Education - Degree,Secondary Education - 12th Year,Intellectual/Scientific,Executive/Director,127.8,No,No,No,Yes,Female,Yes,19,No,0,7,8,7,14.4125,0,0,8,8,8,16.05,0,13.9,-0.3,0.79,Graduate
Single,1st phase - general contingent,2,Nursing,Daytime,Secondary education,140.0,Portuguese,Secondary Education - 12th Year,Basic Education 3rd Cycle,Construction/Craft,Construction/Craft,129.9,Yes,No,No,Yes,Female,No,18,No,0,7,8,7,12.92875,0,0,8,8,8,14.0625,0,15.5,2.8,-4.06,Dropout
Single,1st phase - general contingent,2,Journalism and Communication,Daytime,Secondary education,121.0,Portuguese,Secondary Education - 12th Year,Basic Education 3rd Cycle,Unskilled,Construction/Craft,118.9,Yes,No,No,Yes,Female,No,20,No,0,6,6,6,13.333333333333334,0,0,6,10,5,12.8,0,11.1,0.6,2.02,Graduate
Single,1st phase - general contingent,3,Tourism,Daytime,Secondary education,122.0,Portuguese,Basic Education 3rd Cycle,Basic Education 2nd Cycle,Technician/Professional,Armed Forces,114.3,Yes,No,No,Yes,Female,Yes,20,No,0,6,8,5,12.8,0,0,6,9,5,12.8,0,12.4,0.5,1.79,Enrolled
Single,3rd phase - general contingent,1,Nursing,Daytime,Secondary education,126.0,Portuguese,Basic Education 2nd Cycle,Basic Education 1st Cycle,Service/Security/Sales,Service/Security/Sales,114.8,Yes,No,No,Yes,Female,No,20,No,0,8,8,7,14.402857142857142,0,0,8,8,7,14.402857142857142,0,10.8,1.4,1.74,Graduate
Single,1st phase - general contingent,4,Nursing,Daytime,Secondary education,135.0,Portuguese,Basic Education 1st Cycle,Basic Education 1st Cycle,Unskilled,Machine Operator,123.0,Yes,No,No,Yes,Female,Yes,18,No,0,8,8,7,13.381428571428572,0,0,8,8,7,13.381428571428572,0,10.8,1.4,1.74,Graduate
Single,1st phase - general contingent,2,Nursing,Daytime,Secondary education,131.0,Portuguese,Basic Education 3rd Cycle,Basic Education 3rd Cycle,Construction/Craft,Service/Security/Sales,122.1,Yes,No,No,Yes,Female,No,18,No,0,7,8,7,14.13125,0,0,8,8,8,13.98375,0,15.5,2.8,-4.06,Graduate
Single,2nd phase - general contingent,4,Veterinary Nursing,Daytime,Secondary education,140.0,Portuguese,Basic Education 3rd Cycle,Basic Education 1st Cycle,Administrative,Construction/Craft,123.7,No,No,No,Yes,Female,No,19,No,0,5,11,5,11.714285714285714,2,0,5,6,5,12.6,0,9.4,-0.8,-3.12,Graduate
Single,1st phase - general contingent,3,Management,Daytime,Secondary education,131.0,Portuguese,Basic Education 3rd Cycle,Basic Education 2nd Cycle,Unskilled,Construction/Craft,132.4,Yes,No,No,Yes,Female,No,19,No,0,5,5,5,11.8,0,0,5,8,4,11.25,0,9.4,-0.8,-3.12,Enrolled
Married,Over 23 years old,1,Social Service (evening attendance),Evening,Secondary education,130.0,Portuguese,Unknown,Unknown,Blank,Blank,114.8,No,No,No,Yes,Female,No,44,No,0,6,9,6,11.166666666666666,0,1,6,15,2,11.0,1,7.6,2.6,0.32,Graduate
Single,Holders of other higher courses,1,Agronomy,Daytime,Higher education - degree,130.0,Portuguese,Basic Education 2nd Cycle,Basic Education 1st Cycle,Service/Security/Sales,Agriculture/Fishery,130.0,No,No,No,Yes,Female,No,32,No,0,6,7,0,0.0,0,0,6,6,0,0.0,0,12.4,0.5,1.79,Dropout
Single,Change of course,1,Basic Education,Daytime,Secondary education,140.0,Portuguese,Basic Education 1st Cycle,Basic Education 3rd Cycle,Unskilled,Machine Operator,122.3,No,No,No,Yes,Female,No,22,No,0,6,9,5,13.6,0,0,6,8,5,12.0,0,12.7,3.7,-1.7,Dropout
Married,Over 23 years old,1,Agronomy,Daytime,Secondary education,130.0,Portuguese,Secondary Education - 12th Year,Basic Education 3rd Cycle,Administrative,Unskilled,152.4,Yes,No,No,Yes,Female,No,36,No,4,12,14,12,13.846153846153848,0,5,12,18,11,14.090909090909092,0,8.9,1.4,3.51,Graduate
Single,2nd phase - general contingent,1,Journalism and Communication,Daytime,Secondary education,125.0,Portuguese,Basic Education 1st Cycle,Basic Education 1st Cycle,Service/Security/Sales,Construction/Craft,120.1,No,No,No,Yes,Female,Yes,18,No,0,6,7,6,12.5,0,0,6,8,6,13.333333333333334,0,16.2,0.3,-0.92,Graduate
Single,1st phase - general contingent,1,Equinculture,Daytime,Secondary education,160.0,Portuguese,Higher Education - Degree,Higher Education - Degree,Technician/Professional,Intellectual/Scientific,155.1,Yes,No,No,Yes,Female,No,20,No,0,5,5,5,16.4,0,0,5,5,5,14.6,0,12.7,3.7,-1.7,Graduate
